Time,Type,Status
0.4134360202378095,2,0
0.7073887055319669,2,0
0.7055097398859383,1,0
0.9171936949294927,4,1
1.4191754026632828,4,1
0.07333386267273588,4,0
0.6041875737509192,1,1
0.5039878985634507,3,1
0.6449343818029822,3,0
1.3232287326197507,3,0
0.06843106052838266,3,1
0.2717582741752267,4,0
0.09976206975989044,1,1
0.9349959296685578,1,1
0.32275442825630307,4,0
0.9284798949536802,3,1
0.7627282600633993,2,0
0.38455463288924296,2,0
0.2641572814900428,2,1
0.37040663042799243,4,1
0.990306409033847,2,1
0.01766311703249812,4,1
1.978170114464343,3,1
0.0657587987370789,4,0
0.3391011720523238,1,0
0.406546325644747,1,1
0.026832756835613727,4,1
0.9133453154516341,2,0
0.9488824698653938,1,1
0.08257735693691405,1,0
0.5869064838415445,3,1
0.6827301722741188,1,0
0.28135275514796376,3,1
0.26371139218099415,3,1
0.17794993496499956,3,0
0.12106959195807576,1,1
1.6095283589416984,2,0
0.7765464507307318,4,0
0.06255841481098788,2,0
1.0826020454357745,3,0
0.06440464260355142,4,0
3.064299695025731,4,0
0.6617613350762488,1,0
0.8015307675765002,3,1
0.4827933256538969,4,0
0.3134337451774627,1,0
1.5732086528586529,3,1
0.4957356661429294,1,1
0.5786650017625155,3,0
0.8769637387794342,2,1
0.6477812598249377,2,0
0.9503318955701711,3,1
0.44174387257308373,2,0
0.809176603038547,1,1
0.09654164942912757,4,0
0.7355791011596451,2,1
1.827109898335517,1,1
0.09356555272825062,1,1
0.4622774883521992,4,0
0.6414655810011984,4,0
0.031052868347615004,3,1
0.22419254077628428,4,0
0.32273812498897314,4,0
0.13795054787571565,4,0
0.7026538441552295,4,0
0.22821248322725296,2,0
1.768365843269935,3,0
0.9883388215255858,4,0
0.5920577780133547,1,0
0.13946172571741045,2,0
0.031851785993858156,2,1
2.2691429498276476,4,0
0.11195387272164226,3,0
0.9975041019176585,1,1
0.0748059619218111,3,0
0.10402518231421709,4,0
0.7025653277793464,3,0
0.1509233086835593,1,0
0.2668536955025047,1,1
0.25247256900183856,4,0
